2026-07-14 13:00:34.369 INFO: ===========VERIFYING SETTINGS===========
2026-07-14 13:00:34.370 INFO: MACE version: 0.3.16
2026-07-14 13:00:34.449 INFO: CUDA version: 11.8, CUDA device: 0
2026-07-14 13:00:35.243 INFO: Using foundation model /home/sgarg/.cache/mace/MACE-OFF23_medium.model as initial checkpoint.
2026-07-14 13:00:35.245 INFO: ===========LOADING INPUT DATA===========
2026-07-14 13:00:35.246 INFO: Using heads: ['Default']
2026-07-14 13:00:35.246 INFO: Using the key specifications to parse data:
2026-07-14 13:00:35.246 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2026-07-14 13:00:35.246 INFO: =============    Processing head Default     ===========
2026-07-14 13:00:35.430 INFO: Training set 1/1 [energy: 259, stress: 0, virials: 0, dipole components: 0, head: 259, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 259, charges: 0]
2026-07-14 13:00:35.431 INFO: Total Training set [energy: 259, stress: 0, virials: 0, dipole components: 0, head: 259, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 259, charges: 0]
2026-07-14 13:00:35.471 INFO: Validation set 1/1 [energy: 45, stress: 0, virials: 0, dipole components: 0, head: 45, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 45, charges: 0]
2026-07-14 13:00:35.471 INFO: Total Validation set [energy: 45, stress: 0, virials: 0, dipole components: 0, head: 45, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 45, charges: 0]
2026-07-14 13:00:35.471 INFO: Total number of configurations: train=259, valid=45, tests=[],
2026-07-14 13:00:35.475 INFO: Atomic Numbers used: [np.int64(1), np.int64(6)]
2026-07-14 13:00:35.475 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2026-07-14 13:00:35.475 INFO: Computing average Atomic Energies using least squares regression
2026-07-14 13:00:35.495 INFO: Atomic Energies used (z: eV) for head Default: {1: -30.35471541527474, 6: -47.700267081146045}
2026-07-14 13:00:35.495 INFO: Processing datasets for head 'Default'
2026-07-14 13:00:35.857 INFO: Combining 1 list datasets for head 'Default'
2026-07-14 13:00:35.919 INFO: Combining 1 list datasets for head 'Default_valid'
2026-07-14 13:00:35.919 INFO: Combined validation datasets for Default
2026-07-14 13:00:35.919 INFO: Head 'Default' training dataset size: 259
2026-07-14 13:00:35.919 INFO: Computing average number of neighbors
2026-07-14 13:00:36.104 INFO: Average number of neighbors: 22.66851043701172
2026-07-14 13:00:36.104 INFO: During training the following quantities will be reported: energy, forces
2026-07-14 13:00:36.104 INFO: ===========MODEL DETAILS===========
2026-07-14 13:00:36.337 INFO: Loading FOUNDATION model
2026-07-14 13:00:36.339 INFO: Using filtered elements: [np.int64(1), np.int64(6)]
2026-07-14 13:00:36.339 INFO: Model configuration extracted from foundation model
2026-07-14 13:00:36.339 INFO: Using weighted loss function for fine-tuning
2026-07-14 13:00:36.339 INFO: Message passing with hidden irreps 128x0e+128x1o)
2026-07-14 13:00:36.339 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2026-07-14 13:00:36.339 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2026-07-14 13:00:36.339 INFO: Distance transform for radial basis functions: None
2026-07-14 13:00:38.077 INFO: ===========OPTIMIZER INFORMATION===========
2026-07-14 13:00:38.077 INFO: Using ADAM as parameter optimizer
2026-07-14 13:00:38.077 INFO: Batch size: 8
2026-07-14 13:00:38.077 INFO: Number of gradient updates: 3237
2026-07-14 13:00:38.077 INFO: Learning rate: 0.0005, weight decay: 5e-07
2026-07-14 13:00:38.078 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2026-07-14 13:00:38.078 INFO: === Layer's learning rates ===
2026-07-14 13:00:38.079 INFO: Param group 0: lr = 0.0005
2026-07-14 13:00:38.079 INFO: Param group 1: lr = 0.0005
2026-07-14 13:00:38.079 INFO: Param group 2: lr = 0.0005
2026-07-14 13:00:38.079 INFO: Param group 3: lr = 0.0005
2026-07-14 13:00:38.079 INFO: Param group 4: lr = 0.0005
2026-07-14 13:00:38.079 INFO: Using gradient clipping with tolerance=10.000
2026-07-14 13:00:38.079 INFO: 
2026-07-14 13:00:38.079 INFO: ===========TRAINING===========
2026-07-14 13:00:38.079 INFO: Started training, reporting errors on validation set
2026-07-14 13:00:38.079 INFO: Loss metrics on validation set
2026-07-14 13:00:47.798 INFO: Initial: head: Default, loss=4.37033749, RMSE_E_per_atom= 5396.95 meV, RMSE_F=  323.52 meV / A
2026-07-14 13:01:12.778 INFO: Epoch 0: head: Default, loss=2.98251510, RMSE_E_per_atom= 5132.26 meV, RMSE_F=   72.30 meV / A
2026-07-14 13:01:24.381 INFO: Epoch 1: head: Default, loss=2.50844669, RMSE_E_per_atom= 4711.83 meV, RMSE_F=   62.03 meV / A
2026-07-14 13:01:36.000 INFO: Epoch 2: head: Default, loss=1.97811925, RMSE_E_per_atom= 4166.34 meV, RMSE_F=   67.84 meV / A
2026-07-14 13:01:47.682 INFO: Epoch 3: head: Default, loss=1.33980894, RMSE_E_per_atom= 3344.29 meV, RMSE_F=   96.10 meV / A
2026-07-14 13:01:59.619 INFO: Epoch 4: head: Default, loss=0.78134793, RMSE_E_per_atom= 2314.70 meV, RMSE_F=  132.98 meV / A
2026-07-14 13:02:11.289 INFO: Epoch 5: head: Default, loss=0.48411623, RMSE_E_per_atom= 1623.81 meV, RMSE_F=  134.68 meV / A
2026-07-14 13:02:23.065 INFO: Epoch 6: head: Default, loss=0.32121515, RMSE_E_per_atom= 1137.68 meV, RMSE_F=  129.62 meV / A
2026-07-14 13:02:34.762 INFO: Epoch 7: head: Default, loss=0.21013156, RMSE_E_per_atom=  757.13 meV, RMSE_F=  117.89 meV / A
2026-07-14 13:02:46.622 INFO: Epoch 8: head: Default, loss=0.16597842, RMSE_E_per_atom=  497.69 meV, RMSE_F=  114.28 meV / A
2026-07-14 13:02:58.315 INFO: Epoch 9: head: Default, loss=0.12202486, RMSE_E_per_atom=  381.26 meV, RMSE_F=  100.14 meV / A
2026-07-14 13:03:10.164 INFO: Epoch 10: head: Default, loss=0.10457764, RMSE_E_per_atom=  297.89 meV, RMSE_F=   94.78 meV / A
2026-07-14 13:03:21.986 INFO: Epoch 11: head: Default, loss=0.07972507, RMSE_E_per_atom=  249.71 meV, RMSE_F=   83.23 meV / A
2026-07-14 13:03:33.802 INFO: Epoch 12: head: Default, loss=0.07228179, RMSE_E_per_atom=  211.27 meV, RMSE_F=   80.09 meV / A
2026-07-14 13:03:45.812 INFO: Epoch 13: head: Default, loss=0.06492478, RMSE_E_per_atom=  163.36 meV, RMSE_F=   77.04 meV / A
2026-07-14 13:03:57.803 INFO: Epoch 14: head: Default, loss=0.05069343, RMSE_E_per_atom=  127.98 meV, RMSE_F=   68.16 meV / A
2026-07-14 13:04:09.938 INFO: Epoch 15: head: Default, loss=0.04762435, RMSE_E_per_atom=  121.15 meV, RMSE_F=   66.27 meV / A
2026-07-14 13:04:21.923 INFO: Epoch 16: head: Default, loss=0.04395022, RMSE_E_per_atom=  107.55 meV, RMSE_F=   63.60 meV / A
2026-07-14 13:04:33.828 INFO: Epoch 17: head: Default, loss=0.03908500, RMSE_E_per_atom=   88.71 meV, RMSE_F=   60.40 meV / A
2026-07-14 13:04:46.040 INFO: Epoch 18: head: Default, loss=0.03613438, RMSE_E_per_atom=   88.31 meV, RMSE_F=   58.08 meV / A
2026-07-14 13:04:58.066 INFO: Epoch 19: head: Default, loss=0.03241210, RMSE_E_per_atom=   76.33 meV, RMSE_F=   55.02 meV / A
2026-07-14 13:05:10.437 INFO: Epoch 20: head: Default, loss=0.03460828, RMSE_E_per_atom=   66.97 meV, RMSE_F=   56.82 meV / A
2026-07-14 13:05:22.143 INFO: Epoch 21: head: Default, loss=0.03206111, RMSE_E_per_atom=   68.02 meV, RMSE_F=   54.93 meV / A
2026-07-14 13:05:34.543 INFO: Epoch 22: head: Default, loss=0.02754873, RMSE_E_per_atom=   49.25 meV, RMSE_F=   51.19 meV / A
2026-07-14 13:05:46.700 INFO: Epoch 23: head: Default, loss=0.02571414, RMSE_E_per_atom=   51.65 meV, RMSE_F=   49.16 meV / A
2026-07-14 13:05:59.132 INFO: Epoch 24: head: Default, loss=0.02474554, RMSE_E_per_atom=   53.32 meV, RMSE_F=   48.33 meV / A
2026-07-14 13:06:11.504 INFO: Epoch 25: head: Default, loss=0.02453717, RMSE_E_per_atom=   45.59 meV, RMSE_F=   48.04 meV / A
2026-07-14 13:06:23.773 INFO: Epoch 26: head: Default, loss=0.02329669, RMSE_E_per_atom=   45.56 meV, RMSE_F=   46.94 meV / A
2026-07-14 13:06:36.182 INFO: Epoch 27: head: Default, loss=0.02235984, RMSE_E_per_atom=   43.31 meV, RMSE_F=   45.95 meV / A
2026-07-14 13:06:48.204 INFO: Epoch 28: head: Default, loss=0.02172617, RMSE_E_per_atom=   34.60 meV, RMSE_F=   45.34 meV / A
2026-07-14 13:07:00.563 INFO: Epoch 29: head: Default, loss=0.01943049, RMSE_E_per_atom=   35.85 meV, RMSE_F=   42.87 meV / A
2026-07-14 13:07:12.526 INFO: Epoch 30: head: Default, loss=0.01944501, RMSE_E_per_atom=   33.28 meV, RMSE_F=   42.93 meV / A
